id,text,a6,a12,a16,a19,a20,a22,a39,a42,a52,a60,a61,a65,a68,a70,a93,a98,a99,a100,a102,a120,a127,a131,a151,a157,a158,a178,a180,a185,a193,a196,a197,a215,a216
450d326d,"<url>. Congrats, or should I say good luck?",,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6a22f4ec,Can I get some time to finish what I am doing without everything being deleted??,,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,
823f1104,"Ok. Thank you for clarifying. Could you be more specific as to what you are specifying as ""the claim"" so that I may find relevant information to refute?",,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,
7677905a,"One wonders, of course, who ""Elliott of Macedon"" would have been. Probably something analogous to Brian of Nazareth but in a Macedonian phalanx?",,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
a1ce799b,"So, let me make sure I understand this. You think that, if we remove an image as it does not meet the NFCC, you would then be able to upload the same image, only this time, it would meet the NFCC?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0
4c1de5ef,"Cla, your partisanship is indeed fairly obvious, and pointing to one article where you've deliberately been good isn't good enough. So: if I point you to my stand against AJL, will you declare me to be non-partisan?",,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
647fc2eb,4.5 million hits on Google turning up the non-Columbia campuses.  What are you talking about?,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
ddadc36c,"You were right that there was a problem, but I see Xn4 has now had a go at it. Perhaps you could look at it again?",,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0
f8e58f96,"Well, in that case we should simply point the shortcuts to where they originally pointed, which in most cases is unrelated to both VIE and VINE. That sounds like a fair and neutral compromise, no?",,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
6c0ecb0d,"Hi, nice article.  What is meant by ""speculative townhouses?""  Ones that were built for prospective renters rather than for committed buyers?",,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
ab674a8c,"Hey, I'm inquiring about my <url> a few months ago for photos from the Flames-Rangers game that took place last week. I've gotten a few of these since then, but just wondering if you remembered and got any shots that would be worth using on here?",,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
4573fd26,"I see you ended the AfD on <url> and removed the tag.  Will you remove it on the other two articles that were proposed along with it, <url> and <url>?",,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
54262083,This is great so far! What do you feel you need help with?,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
1073de1f,"May I ask why you removed <url> from the article on <url>?  Since CAP is the USAF's official auxiliary, wouldn't it make sense for the CAP article to be in the USAF category?",,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,
b39835dc,Wow that's old! What do you think of <url>?,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0
3ccd5d3f,"Thanks, firstly, for the affirmation and work on <url>; it was yesterday's featured article! As a related article, I've been working on <url> - what do you think would be necessary to get it to FA?",,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
29845e3d,"I noticed that the A team article for Australia is at <url> instead of <url>.  Is that intentional, or something we should fix with a page move?",,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
ae62bff4,"Yes, I just saw that. DJ, if you wished to delete the still tagged pages then that was your judgement call but to delete pages which I had already declined a speedy on was rather bad form wouldn't you say?",,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0
b37d2cfe,"Lemme just remember, who's going to be mentioned first? Snyder, or the failed projects?",,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
5fbdb9f4,"I think it is a great idea to merge my Geraldine Jones article to the flip Wilson show article, but I don't know how to do that. Can you help me?",,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,
5abe670b,"Eeeeerrrrr... Could you type a little slower, I am having trouble with the above!?",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2e79bace,"Likewise there is some discussion at <url>, where <url> is categorising itself and its documenttation. Could you please fix that as well?",,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,
2b51cf2d,I am planning on changing the <url> to the ICF Flatwater World Championships. Any objections?,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
7936f4fd,REVERT???,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4ae49ffe,"On a more practical note: One either does or doesn't agree to take part in mediation. Which is it, please?",,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,
1579c920,"On another subject, have you finished the books I suggested? Want more?",,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
4fbbf076,"BTW, I'm amazed that he has the gumption to show his mug after <url>. And do you have the balls (metaphorically or otherwise) to place a hatnote above his article linking to that term?",,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,
0be6c004,"Wikipedia is anything '''but''' formal, many characters real or fictional don't get referred by their full names all the time. Besides, who else on wikipedia thinks ""OOO"" is awkward?",,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,
d3494fd0,Just musing on creating an article about the formation of the Pixies (I reckon I could write a decent-sized article on the whole thing). What are your thoughts?,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,
0d1c02df,"I've just reinstated the perfectly valid redirect to this. I seem to remember there was some issue years ago with a rock group of the same name, but don't you look at these things before you delete?",,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
e738a533,"<url> is one of the three fundamental Wikipedia content policies; why is it a ""shame"" you have to follow it? What did you mean by ""people like you""?",,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
c00dec85,"Yes, but not for long. How are you?",1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
3f48d042,"Further, one may ask why there is no proto-tumour-suppressor. Could it be because tumour-suppressors were discovered later, when mechanisms were better understood?",,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
4b8acf5e,"It is fair use. And, I have no free alternative in the context of ""Sugoroku Mutou."" Now, why don't you find me a replacement picture in the context of ""Japanese names,"" and I will accept the removal of the picture?",,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,
bd36a3d8,Denied. I take it then that you deny responsiblity for an account (which I'll not name here) created just four minutes after you made that edit?,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,
9170a138,hi Mustafaa I have some historical pictures and some sentences written on them which seems to be arabic. Can you tell me if it is arabic or not if i send you a copy?,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
135be3f8,"So, I'm a ""deletion fanatic""? Why don't you refrain from uncivil remarks and focus on adding sources to your unsourced stubs - help the encyclopedia rather than pissing off people?",,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
05eceac5,"Sorry, I was wondering if the are related to each other or separate organizations? Also is there a difference between North Twillingate and Twillingate?",,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
d9a601fb,"I hope I am now signed on and you remove the erroneous vandalism report. Don't you think it would be more politic to send a message with a question than to preemptorily declare an edit ""vandalism""?",,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,
0d57cdc8,"Hi Michael, have you ever heard of this term before?  Does it have wide usage?",,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
43f1c800,Thank you for reverting vandalism on my page.  How did you catch it so fast?,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,
bc120fe7,"Note: Kurt's talk page almost certainly isn't a good place to seek a broad or unbiased consensus on this question, nor is it the appropriate venue in which to request an exemption from a ban &mdash; and in all honesty, I'm not sure that managing such an exemption for the purpose of posting gags would be a constructive use of anyone's time.  Perhaps it would be best to save the jokes for a time when you're once again allowed to edit in the WP namespace, or post whatever jokes you wish (within reason) in your own user space?",,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
a538097a,The race was advertised and billed as the 100th Indy 500. Are you saying the promoters and Indycar are liars?,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2e18a56f,I refer you to my last answer about independent sources. Do you have press coverage?,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
b5b2228a,"Editing pattern just means, have you made more than 3R in 24h. Why should S get blocked, when S didn't break 3RR?",,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1.0,,
06daa9ca,"Hi, I think that you do a fantastic job on DELSORT. However, I was just wondering if, when you add to Schools, whether you would be good enough to add them to the appropriate section, please?",,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
01217043,Thank you for your answer about Illustrator.  How does Adobe Illustrator compare with InDesign?,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
40570a1f,Okay thanks. Any easy way to determine this?,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,
d3bf12b5,I am currently writing up an RfA for Chacor. Can you check with the other Arbcom members and make absolutely sure that he's authorized to run?,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ed23f176,<url>.. it doesn't really explain what the issue was. Can you word it better?,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,
