id,text
486aff36,"The review has been up there for something like six weeks, I notice. Think you'll be able to take care of those last couple of things?"
201d7655,How many other states follow the same pattern?  And do we really need it to?
c9125774,You added the name Ken Taylor to the <url> page but there is no such person listed on the DOD website as having received that award. Who were you refering to?
593ac8fb,I found <url> whilst looking for something else. Any use to you?
d1fdcdba,If it were me I'd want to try and find out more about how/why this happened first before I continued to use that software. Have you asked at the talk page I mentioned above?
40da6ea4,Thank you. So what did I do to earn the tea?
29a32349,Happy belated birthday to you too! How have you been?
f184f658,you recently deleted <url>.  can you tell me where is the AfD debate on that article?
117c6f50,"Btw, I've issued a request for discussion on the Canadian Wikipedians' notice board about a dispute involving myself and another contributor on <url>. If you have a chance, could you look this over?"
5fb81bda,"With all due respect, that is going to take ages. How can one create a 'Bot' to do all this for me for <url>, <url>, <url>, <url> and <url>?"
3d961d64,"They did and have done, on my talk page and on their talk page and most the time im not really doing anything and i always seem to get the finger pointed at me. So what do you expect me to do if someone is uncivil towards me?"
1a5c49ba,My question about the truncation operation is to understand the generic algorithm for applying a ring (or un-ringing) a Dynkin node. What method (code) do you use to get the higher dimensions truncated based on the Coxeter Dynkin ringed nodes?
6767fd54,"Hey how are you? Now I can't find you online, where are you lol?"
5c99131e,"Hello, again. Would you care to intervene at <url>?"
a9478fad,Huh? Who the hell are you?
98dbe450,"..to Giggy's RfA. Did you mean to remove 2,066 bytes of replies?"
3edc3159,...just vandalized my page again. What level warning is appropriate?
c7a8d23c,"Hi, I hadn't realized that you had made a revert on redirecting this.  Could you see my comments on <url>?"
6a9adbcf,"I hope I don't upset anyone by jumping in univited, but why are self-created images any different than those found elsewhere so long as they comply with all of the non-free content criteria? Is this caveat hiding in a talk page archive somewhere?"
2758fb9c,"So far so good? Drop me an email sometime, ok?"
eacee178,I'm currently considering nominating you for adminship at <url>. Are you interested?
532e9d3a,Hi. I stumbled upon your user page and was wondering if you could offer any tips for creating locator maps... where do you get the 'base' map and what program do you use to fill in the colours?
ed638556,"OK, we are talking about two remaining articles here. The categories serve absolutely no categorization purpose, so why are you being stubborn about it?"
edb78048,"Somebody labeled the ""stenography"" images you did for <url> as unverified.  Would you midn adding a tag to those, too?"
45781218,"Fine, but you didn't need to be an admin to make edits to articles.  Or did you?"
759a1c9e,"Hi. How do you think, is <url> of FL quality?"
d15d288c,"All right, I'll bite. Is honorary membership in the Justice League not criteria enough for being listed in that category?"
69420aa5,"Your first attempt at doing this also added a <nowiki>""<url>""</nowiki> line to the article, and that's what triggered the bot.  Perhaps you should get into the habit of using the 'Show changes button?"
00129c82,"I see you deleted the Shayla LaVeaux article, citing copyright problems. I'd like to see if I can't clean it up... is there any way I can see the deleted article?"
e92d4968,"The link you provided to speedy delection criteria only goes up to CSD12, and there is no CSD 13 listed there.  Could you clarify?"
e3808460,"Hi again, OK, say we don't go along the lines of Blair will go before the end of 2007; but we list the announced candidates for when Blair does resign (which will inevitably happen at some point). Do you think this would be any better/more suitable?"
369a8b74,"Hi, you've done a lot of work on comparing FA country articles. Are you aware of any country that got special praise for the selection of images in the article?"
ba683231,"Thanks, Wareh. Have to ask, Davey: why is the Circus Maximus article on your page called <url>?"
b7b751a7,"Great Article RaveenS, Do u want me to add this to the template (Sri Lankan Conflict)? I think it should be included in the ''see also'' section what do you suggest?"
303268c2,Your new images of Micheal Knight and Devon look kinda squashed. Can you fix them or find better ones to replace them?
9b6dd720,"Hey, several of the footnotes that you use in <url> are Harvard footnotes, which means that they need the full citation of the books in works cited section. I imagine you grabbed some of that information from some other places, would you mind retriveing the bibliographic data?"
2531aa33,"Hello, I've written a page about the <url>, shamelessly copying the style from your CCT/FoFC lists. In the process, have I missed anything out?"
34e84916,"Can I you take a look at <url> and <url>? Specifically, look at the formatting of the general reference; is it an acceptable way to present the references?"
360b0a93,"Yep, I'm definitely free for the whole break. Had fun in your trip?"
4ff1a37d,Do you really believe that your photograph at the top of the <url> is better than my photograph which you removed? Should Wikipedia have a dedicated sunrise article that does not feature even one single decent image of a red sky?
ad86f122,"Am I indeed ""dishonest"" by responding to you?  Is <url>  correct?"
6a2b35c2,"The YA article is a right trainwreck, and having had to do much of the exact same work on <url> and <url>, I'm not keen to do it again a third time on <url>, and then defend three separate articles from identical POV pushes. Thoughts?"
bb5706d5,He's still got the youtube link on there even after your reversion. How does once vs. 25 times or so make any difference?
80d87d1a,The new features of Hotcat are excellent: whom do I thank for this? :-) Are you still its maintainer?
80798b16,"I made the revert as an editor, not an Administrator - I haven't used my Admin tools and I have said I would not use them as I'm involved. Where did I say I hadn't read any of the material?"
206b4496,"I was just curious why you named the <url> for Williamsburg County, not Georgetown County.  Is it because W County is listed first by the GNIS?"
ac0fe53f,You also seem somedeal similar to <url>. Not logging in is not sockpuppetry but do you acknowledge that User:64.194.44.220 is you?
a711cdd3,Lowell/Lawrence Blvd leading from Lowell to the Methuen Rotary is a device from hell as well.  How many people does that short stretch of road have to kill?
b4d777da,I tagged the most recent article. Aren't there guidelines for public history in your state?
fe7a06c6,"---- Though I thought I would note that you have now exceeded <big>'''500'''</big> edits while on ""wikibreak"" and that is over less than 10 days, May I ask what kind of break is that???"
f4e82ae3,"Just looking at that photo and the one in the article makes me feel cold :).   I just finished this article <url> a week or so ago, and wonder if those Forward Operating Locations are tied into intercepts from those NORAD radar sites ?"
7a0c25b3,"Hello, I am interested in helping out with <url> and <url>, but the pages are very very long, which is unmanageable and discouraging. Could you please break them up into (many) smaller subpages?"
5c30a57e,Good idea.... Perhaps though you could also make a list of kings on that page??
6394c58d,"When someone explicitly states that they created the image themselves, then surely GFDL is at least implied? I know i forgot to add the tag but is it really necessary to put a delete template on the image?"
06e7a4e3,"I've been trying to convince this user that his only problem is his username, but he doesn't seem to fully believe it.  Would you mind popping over and giving a word or two of encouragement?"
8f0e6dd2,Where is the vandalism? Diffs?
585f3750,I believe that an opinion about AS belongs only to article about AS (and you are welcome to cite the MS opinion ''in proper context''). However an opinion about MS belongs only to article about MS. Is not this fair and logical?
2cffdce8,"I thought that, when some informations are mentioned about in ''desperate housewives'', it is a reliable source? So, in your way of thinking, Susan Mayer maiden name is not Bremmer or something like that?"
